Question,Ground Truth Answer,Chatbot Answer
What is Ooredoo's total revenue for H1 2024?,QAR 11.8 billion,Ooredoo's total revenue for H1 2024 is QAR 11.8 billion. My final answer is QAR 11.8 billion.
What was Ooredoo's EBITDA for H1 2024?,QAR 5.1 billion,"Ooredoo's EBITDA for H1 2024 was QAR 5.1 billion, which reflects a 6% increase compared to the previous year. My final answer is 5.1 billion QAR."
What was the net profit of Ooredoo in H1 2024?,QAR 1.9 billion,"The net profit of Ooredoo in H1 2024 was reported as QAR 1.9 billion, which includes a normalization adjustment for foreign exchange impact and other factors.

My final answer is 1.9 billion QAR."
How much did Ooredoo's EBITDA margin increase in H1 2024?,+1pp,Ooredoo's EBITDA margin improved by 1 percentage point (pp) to 43% in H1 2024. My final answer is 1pp increase to 43%.
What was Ooredoo's free cash flow for H1 2024?,QAR 4.1 billion,"Ooredoo's free cash flow for H1 2024 was QAR 4.1 billion, which represents a 4% increase year-over-year. My final answer is 4.1 billion QAR."
Which countries had the highest revenue growth in H1 2024?,"Iraq, Algeria, Kuwait, Maldives, Tunisia","The countries with the highest revenue growth in H1 2024 were Iraq with 28%, Algeria with 15%, and Kuwait with 8%. My final answer is Iraq 28%, Algeria 15%, Kuwait 8%."
What major AI partnership did Ooredoo secure in H1 2024?,First NVIDIA Cloud Partner in MENA,Ooredoo secured a pioneering deal to deploy NVIDIA’s advanced AI technology across its data centres in H1 2024. This collaboration includes becoming an NVIDIA Cloud Partner to bring the latest AI technology to the MENA region. My final answer is NVIDIA.
How much economic impact is GenAI expected to have in the GCC by 2030?,$23.5 billion per year,"The overall economic impact of GenAI in the GCC is expected to reach approximately $23.5 billion per year by 2030. Additionally, the expected annual growth in the contribution of AI across the region is estimated to be between 20% and 34% per year.

My final answer is $23.5 billion per year by 2030."
What is the expected investment in AI and cloud services by Ooredoo?,$1 billion,"Based on the retrieved information, Ooredoo aims to expand capacity to over 120MW with an investment of approximately USD 1 billion over the medium to long term, specifically for cloud services and AI infrastructure.

My final answer is USD 1 billion."
What was the revenue contribution of Qatar to Ooredoo in H1 2024?,30%,"Apologies, but I do not have enough information. Please ask another query."
What was the total Capex investment by Ooredoo in H1 2024?,QAR 1.0 billion,The total Capex investment by Ooredoo in H1 2024 was QAR 1.0 billion. My final answer is QAR 1.0 billion.
Which country contributed the most customers to Ooredoo's network in H1 2024?,Iraq,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's reported debt/EBITDA ratio in H1 2024?,0.6x,"Apologies, but I do not have enough information. Please ask another query."
How did Ooredoo's net profit change YoY in H1 2024?,+4% (normalized +14%),"Ooredoo's net profit in H1 2024 increased by 4% YoY, reaching QAR 1.9 billion. When normalized, the net profit growth was 14%. My final answer is 4% increase (14% normalized) YoY in H1 2024."
Which region's revenue was impacted due to war in H1 2024?,Palestine,"The region's revenue that was impacted due to war in H1 2024 is Palestine. 

My final answer is Palestine."
What percentage of Ooredoo's customers were in Iraq?,37%,"Based on the retrieved information, the percentage of Ooredoo's customers in Iraq is noted as 7% of the total subscribers. 

My final answer is 7%."
Which country had the lowest mobile churn rate in H1 2024?,Kuwait (3%),"The country with the lowest mobile churn rate in H1 2024 is Kuwait, with a mobile churn rate of 2%. 

My final answer is Kuwait."
Which countries had completed data center carve-outs by H1 2024?,"Qatar, Tunisia, Kuwait","The countries that had completed data center carve-outs by H1 2024 are Qatar, Tunisia, and Kuwait. 

My final answer is Qatar, Tunisia, and Kuwait."
How much did Ooredoo raise through a financing deal in H1 2024?,QAR 2 billion,"Ooredoo raised USD 500 million through bond issuance in H1 2024. Additionally, they secured a QAR 2 billion financing deal with QNB, Doha Bank, and Masraf Al Rayan. 

My final answer is USD 500 million and QAR 2 billion."
Which company is Ooredoo collaborating with for AI technology?,NVIDIA,Ooredoo is collaborating with NVIDIA for AI technology. My final answer is NVIDIA.
How much was Ooredoo's bond issuance in H1 2024?,USD 500 million,Ooredoo's bond issuance in H1 2024 was USD 500 million. My final answer is 500 million.
What was Ooredoo's dividend yield in 2023?,5.24%,"Ooredoo's dividend yield for 2023 was reported as 4.77% based on the dividend paid of QAR 0.43. Additionally, the proposed dividend yield was noted as 5.24% based on a proposed cash dividend of QAR 0.55. 

My final answer is 4.77%."
What is Ooredoo's expected total Capex investment for FY24?,QAR 3.5 billion,The expected total Capex investment for Ooredoo in FY24 is approximately QAR 3.5 billion. My final answer is QAR 3.5 billion.
Which country had the highest 5G population coverage in H1 2024?,Qatar (98.95%),"Based on the retrieved information, the country with the highest 5G population coverage in H1 2024 is Kuwait, with a 5G population coverage of 89.00%. My final answer is Kuwait."
How many customers did Ooredoo have in H1 2024 excluding Myanmar?,49.7 million,"Ooredoo had 49.7 million customers in H1 2024, excluding Myanmar. 

My final answer is 49.7 million."
What percentage of Ooredoo's network traffic was on 4G in Kuwait?,52.14%,The percentage of Ooredoo's network traffic that was on 4G in Kuwait is 52.14%. My final answer is 52.14%.
