Question,Ground Truth Answer,Chatbot Answer
What is Ooredoo's total revenue for H1 2024?,QAR 11.8 billion,Ooredoo's total revenue for H1 2024 is QAR 11.8 billion. My final answer is 11.8 billion QAR.
What was Ooredoo's EBITDA for H1 2024?,QAR 5.1 billion,"Ooredoo's EBITDA for H1 2024 was QAR 5.1 billion, up by 6% (normalized up by 8%) year over year. My final answer is 5.1 billion QAR."
What was the net profit of Ooredoo in H1 2024?,QAR 1.9 billion,"The net profit of Ooredoo in H1 2024 was QAR 1.871 billion (reported), and QAR 1.861 billion (normalized). 

My final answer is 1.871 billion QAR."
How much did Ooredoo's EBITDA margin increase in H1 2024?,+1pp,Ooredoo's EBITDA margin increased by 1 percentage point (pp) to 43% in H1 2024. My final answer is 1 percentage point.
What was Ooredoo's free cash flow for H1 2024?,QAR 4.1 billion,"Ooredoo's free cash flow for H1 2024 was QAR 4.1 billion, which represents a 4% increase compared to the previous year. My final answer is 4.1 billion QAR."
Which countries had the highest revenue growth in H1 2024?,"Iraq, Algeria, Kuwait, Maldives, Tunisia","The countries with the highest revenue growth in H1 2024 were Iraq and Algeria, with revenue growth of 23% and 15% respectively. 

Iraq's revenue growth was supported by favorable market dynamics, while Algeria's growth was attributed to strong revenue increases across its segments.

My final answer is Iraq and Algeria."
What major AI partnership did Ooredoo secure in H1 2024?,First NVIDIA Cloud Partner in MENA,Ooredoo secured a pioneering deal to deploy NVIDIA’s advanced AI technology across its data centres and is becoming an NVIDIA Cloud Partner to bring the latest AI technology to the MENA region. My final answer is NVIDIA partnership.
How much economic impact is GenAI expected to have in the GCC by 2030?,$23.5 billion per year,The overall economic impact of GenAI in the GCC area is expected to reach $23.5 billion per year by 2030. My final answer is $23.5 billion.
What is the expected investment in AI and cloud services by Ooredoo?,$1 billion,"Ooredoo plans to expand data center capacity to over 120MW with an investment of approximately USD 1 billion over the medium to long term. 

My final answer is USD 1 billion."
What was the revenue contribution of Qatar to Ooredoo in H1 2024?,30%,"Apologies, but I do not have enough information. Please ask another query."
What was the total Capex investment by Ooredoo in H1 2024?,QAR 1.0 billion,"The total Capex investment by Ooredoo in H1 2024 was QAR 1.0 billion. 

My final answer is 1.0 billion."
Which country contributed the most customers to Ooredoo's network in H1 2024?,Iraq,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's reported debt/EBITDA ratio in H1 2024?,0.6x,"Apologies, but I do not have enough information. Please ask another query."
How did Ooredoo's net profit change YoY in H1 2024?,+4% (normalized +14%),"In H1 2024, Ooredoo's net profit increased by 4% YoY to QAR 1.9 billion when reported, and by 14% YoY on a normalized basis. 

My final answer is 4% increase reported, 14% increase normalized."
Which region's revenue was impacted due to war in H1 2024?,Palestine,"The region whose revenue was impacted due to war in H1 2024 is Palestine. 

My final answer is Palestine."
What percentage of Ooredoo's customers were in Iraq?,37%,"The retrieved information does not provide the exact percentage of Ooredoo's customers that were in Iraq. It does contain a customer base figure for Iraq but does not specify the total customer base needed to calculate the percentage.

Apologies, but I do not have enough information. Please ask another query."
Which country had the lowest mobile churn rate in H1 2024?,Kuwait (3%),"The country with the lowest mobile churn rate in H1 2024 is Kuwait, with a churn rate of 3%. 

My final answer is Kuwait."
Which countries had completed data center carve-outs by H1 2024?,"Qatar, Tunisia, Kuwait","The countries that had completed data center carve-outs by H1 2024 are Qatar, Tunisia, and Kuwait. My final answer is Qatar, Tunisia, Kuwait."
How much did Ooredoo raise through a financing deal in H1 2024?,QAR 2 billion,Ooredoo raised QAR 2 billion through a significant financing deal in H1 2024 to accelerate the expansion of their data center business. My final answer is QAR 2 billion.
Which company is Ooredoo collaborating with for AI technology?,NVIDIA,"Ooredoo is collaborating with NVIDIA for AI technology. They have signed a pioneering deal to deploy NVIDIA’s advanced AI technology across their data centres and are becoming an NVIDIA Cloud Partner to bring the latest AI technology to the MENA region.

My final answer is NVIDIA."
How much was Ooredoo's bond issuance in H1 2024?,USD 500 million,"Ooredoo's bond issuance in H1 2024 was USD 500 million. 

My final answer is USD 500 million."
What was Ooredoo's dividend yield in 2023?,5.24%,"Ooredoo's dividend yield in 2023 was 4.77% based on the dividend paid of QR 0.43 per share. 

My final answer is 4.77%."
