Question,Ground Truth Answer,Chatbot Answer
What is Ooredoo's total revenue for H1 2024?,QAR 11.8 billion,"Ooredoo's total revenue for H1 2024 is QAR 5,114 million, which represents an increase of 6% compared to H1 2023. 

My final answer is 5,114 million QAR."
What was Ooredoo's EBITDA for H1 2024?,QAR 5.1 billion,"Ooredoo's EBITDA for H1 2024 was QAR 5.1 billion, which reflects an increase of 6% compared to the previous year. My final answer is 5.1 billion QAR."
What was the net profit of Ooredoo in H1 2024?,QAR 1.9 billion,"The net profit of Ooredoo in H1 2024 was QAR 1.9 billion. 

My final answer is 1.9 billion QAR."
How much did Ooredoo's EBITDA margin increase in H1 2024?,+1pp,Ooredoo's EBITDA margin increased by 2 percentage points (pp) in H1 2024. My final answer is 2 percentage points.
What was Ooredoo's free cash flow for H1 2024?,QAR 4.1 billion,"Ooredoo's free cash flow for H1 2024 was QAR 4.1 billion, which reflects a growth of 4% compared to the previous year. 

My final answer is QAR 4.1 billion."
Which countries had the highest revenue growth in H1 2024?,"Iraq, Algeria, Kuwait, Maldives, Tunisia","The countries that had the highest revenue growth in H1 2024 are:

1. Iraq: +18%
2. Algeria: +16%
3. Kuwait: +11%
4. Tunisia: +10%
5. Maldives: +8%

My final answer is Iraq, Algeria, Kuwait, Tunisia, and Maldives."
What major AI partnership did Ooredoo secure in H1 2024?,First NVIDIA Cloud Partner in MENA,"Ooredoo secured a pioneering AI partnership in H1 2024 by signing a deal to deploy NVIDIA’s advanced AI technology across its data centres. This collaboration positions Ooredoo as an NVIDIA Cloud Partner, aiming to develop an AI-ready platform in key markets within the MENA region such as Qatar, Algeria, Tunisia, Oman, Kuwait, and the Maldives. My final answer is NVIDIA partnership."
How much economic impact is GenAI expected to have in the GCC by 2030?,$23.5 billion per year,"The economic impact of GenAI in the GCC is expected to reach approximately $23.5 billion per year by 2030. 

My final answer is $23.5 billion."
What is the expected investment in AI and cloud services by Ooredoo?,$1 billion,"The expected investment in AI and cloud services by Ooredoo is approximately USD 1 billion over the medium to long term to expand capacity and upgrade infrastructure in the MENA region. 

My final answer is USD 1 billion."
What was the revenue contribution of Qatar to Ooredoo in H1 2024?,30%,"Apologies, but I do not have enough information. Please ask another query."
What was the total Capex investment by Ooredoo in H1 2024?,QAR 1.0 billion,"The total Capex investment by Ooredoo in H1 2024 was QAR 1.0 billion. 

My final answer is QAR 1.0 billion."
Which country contributed the most customers to Ooredoo's network in H1 2024?,Iraq,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's reported debt/EBITDA ratio in H1 2024?,0.6x,"Apologies, but I do not have enough information. Please ask another query."
How did Ooredoo's net profit change YoY in H1 2024?,+4% (normalized +14%),"Ooredoo's net profit for H1 2024 was reported at QAR 2.9 billion, which represents an increase of 10% year-over-year (YoY) when normalized for foreign exchange impact, Myanmar gain on disposal, and impairment. My final answer is 10% increase YoY."
Which region's revenue was impacted due to war in H1 2024?,Palestine,The region whose revenue was impacted due to war in H1 2024 is Palestine. My final answer is Palestine.
What percentage of Ooredoo's customers were in Iraq?,37%,"Apologies, but I do not have enough information. Please ask another query."
Which country had the lowest mobile churn rate in H1 2024?,Kuwait (3%),"The country with the lowest mobile churn rate in H1 2024 was the Maldives, with a churn rate of 1%. 

My final answer is 1%."
Which countries had completed data center carve-outs by H1 2024?,"Qatar, Tunisia, Kuwait","The countries that had completed data center carve-outs by H1 2024 are Qatar, Tunisia, and Kuwait. 

My final answer is Qatar, Tunisia, and Kuwait."
How much did Ooredoo raise through a financing deal in H1 2024?,QAR 2 billion,Ooredoo raised QAR 2 billion through a significant financing deal in H1 2024 to accelerate the expansion of its data center business. My final answer is QAR 2 billion.
Which company is Ooredoo collaborating with for AI technology?,NVIDIA,Ooredoo is collaborating with NVIDIA to deploy advanced AI technology across its data centres in the MENA region. My final answer is NVIDIA.
How much was Ooredoo's bond issuance in H1 2024?,USD 500 million,Ooredoo raised USD 500 million through bond issuance in H1 2024. My final answer is 500 million.
What was Ooredoo's dividend yield in 2023?,5.24%,"Ooredoo's dividend yield for 2023 was 4.77%, based on the dividend paid of QAR 0.43 and the dividend policy proposing a cash dividend of QAR 0.55. My final answer is 4.77%."
What is Ooredoo's expected total Capex investment for FY24?,QAR 3.5 billion,Ooredoo's expected total Capex investment for FY24 is approximately QAR 3.5 billion. My final answer is QAR 3.5 billion.
Which country had the highest 5G population coverage in H1 2024?,Qatar (98.95%),"Apologies, but I do not have enough information. Please ask another query."
How many customers did Ooredoo have in H1 2024 excluding Myanmar?,49.7 million,"The customer base of Ooredoo, excluding Myanmar, increased by 1.9 million (+4%) to 49.7 million in H1 2024. 

My final answer is 49.7 million."
What percentage of Ooredoo's network traffic was on 4G in Kuwait?,52.14%,"Apologies, but I do not have enough information. Please ask another query."
What was Ooredoo's customer churn rate in Qatar?,6%,"Apologies, but I do not have enough information. Please ask another query."
How much did Kuwait's EBITDA decline due to a one-off bad debt provision?,-10%,"Kuwait's EBITDA decreased by 15% YoY due to the impact of one-off bad debt provisions recorded in 2024. This decline normalized for the one-off provisions shows an EBITDA decrease of only 2% YoY. Therefore, the decline due to the one-off bad debt provision is 15%.

My final answer is 15%."
What was the EBITDA margin for Tunisia in H1 2024?,41%,"The EBITDA margin for Tunisia in H1 2024 was 41%, which is an increase of 6 percentage points year-over-year. 

My final answer is 41%."
